Timestamp	Normalizacao	PCA	Treino%	Classificador	k	Distancia	Acc_Val	Acc_Test	Precision_Test	Recall_Test	F1_Test	Tempo_Treino_s	Tempo_Pred_s	Tempo_Total_s
20250608_171120	255	10	0.9	log			0.799	0.800	0.798	0.800	0.798	0.400248	0.000830	0.413808
20250608_171120	255	10	0.9	log			0.799	0.800	0.798	0.800	0.798	0.400087	0.000904	0.414391
20250608_171120	255	10	0.9	log			0.799	0.800	0.798	0.800	0.798	0.420972	0.001288	0.437541
20250608_171121	255	10	0.9	log			0.799	0.800	0.798	0.800	0.798	0.401970	0.003272	0.417519
20250608_171121	255	10	0.9	log			0.799	0.800	0.798	0.800	0.798	0.389359	0.001209	0.404887
20250608_171122	255	10	0.9	log			0.799	0.800	0.798	0.800	0.798	0.399791	0.000896	0.415075
20250608_171124	255	50	0.6	knn	1	euclidean	0.975	0.973	0.973	0.973	0.973	0.003980	2.065941	2.093928
20250608_171133	255	50	0.6	knn	1	manhattan	0.972	0.971	0.971	0.971	0.971	0.003761	8.777913	8.805532
20250608_171143	255	50	0.6	knn	1	chebyshev	0.963	0.961	0.961	0.961	0.961	0.003809	9.495465	9.522996
20250608_171145	255	50	0.6	knn	3	euclidean	0.975	0.975	0.975	0.975	0.975	0.003791	2.034924	2.062495
20250608_171153	255	50	0.6	knn	3	manhattan	0.973	0.972	0.972	0.972	0.972	0.003942	8.690713	8.718408
20250608_171203	255	50	0.6	knn	3	chebyshev	0.965	0.962	0.962	0.962	0.961	0.003735	9.186381	9.213543
20250608_171205	255	50	0.6	knn	5	euclidean	0.974	0.973	0.973	0.973	0.973	0.004005	2.024602	2.052302
20250608_171213	255	50	0.6	knn	5	manhattan	0.972	0.971	0.971	0.971	0.971	0.003696	8.453742	8.480931
20250608_171222	255	50	0.6	knn	5	chebyshev	0.964	0.962	0.962	0.962	0.962	0.003938	9.194119	9.221661
20250608_171224	255	50	0.6	knn	7	euclidean	0.974	0.972	0.972	0.972	0.972	0.003800	2.012705	2.039779
20250608_171233	255	50	0.6	knn	7	manhattan	0.971	0.970	0.970	0.970	0.970	0.003695	8.921874	8.952147
20250608_171243	255	50	0.6	knn	7	chebyshev	0.964	0.962	0.962	0.962	0.961	0.003757	9.316368	9.344222
20250608_171246	255	50	0.6	log			0.905	0.907	0.907	0.907	0.907	3.417987	0.003572	3.446330
20250608_171250	255	50	0.6	log			0.905	0.907	0.907	0.907	0.907	3.428699	0.003843	3.458122
20250608_171253	255	50	0.6	log			0.905	0.907	0.907	0.907	0.907	3.376687	0.003591	3.405332
20250608_171256	255	50	0.6	log			0.905	0.907	0.907	0.907	0.907	3.397360	0.005339	3.428813
20250608_171300	255	50	0.6	log			0.905	0.907	0.907	0.907	0.907	3.515293	0.004742	3.548220
20250608_171304	255	50	0.6	log			0.905	0.907	0.907	0.907	0.907	3.479234	0.003849	3.508571
20250608_171307	255	50	0.6	log			0.905	0.907	0.907	0.907	0.907	3.408835	0.008192	3.446396
20250608_171310	255	50	0.6	log			0.905	0.907	0.907	0.907	0.907	3.410869	0.006647	3.448370
20250608_171314	255	50	0.6	log			0.905	0.907	0.907	0.907	0.907	3.421527	0.003616	3.451375
20250608_171317	255	50	0.6	log			0.905	0.907	0.907	0.907	0.907	3.470752	0.004858	3.502441
20250608_171321	255	50	0.6	log			0.905	0.907	0.907	0.907	0.907	3.486530	0.004240	3.516345
20250608_171324	255	50	0.6	log			0.905	0.907	0.907	0.907	0.907	3.460428	0.004086	3.489788
20250608_171326	255	50	0.9	knn	1	euclidean	0.975	0.977	0.977	0.977	0.977	0.006179	1.249199	1.271073
20250608_171330	255	50	0.9	knn	1	manhattan	0.975	0.976	0.976	0.976	0.976	0.005589	4.293987	4.315442
20250608_171335	255	50	0.9	knn	1	chebyshev	0.968	0.965	0.965	0.965	0.965	0.005689	4.579595	4.603976
20250608_171336	255	50	0.9	knn	3	euclidean	0.977	0.977	0.977	0.977	0.977	0.005367	1.055244	1.076900
20250608_171340	255	50	0.9	knn	3	manhattan	0.975	0.974	0.974	0.974	0.974	0.005495	4.586551	4.609465
20250608_171346	255	50	0.9	knn	3	chebyshev	0.966	0.965	0.965	0.965	0.965	0.011151	5.448457	5.482067
20250608_171347	255	50	0.9	knn	5	euclidean	0.975	0.977	0.977	0.977	0.977	0.005708	0.947489	0.970163
20250608_171352	255	50	0.9	knn	5	manhattan	0.973	0.975	0.975	0.975	0.975	0.005218	5.104626	5.125842
20250608_171357	255	50	0.9	knn	5	chebyshev	0.967	0.964	0.964	0.964	0.964	0.005679	4.759589	4.781693
20250608_171357	255	50	0.9	knn	7	euclidean	0.973	0.976	0.976	0.976	0.976	0.005383	0.794181	0.815572
20250608_171402	255	50	0.9	knn	7	manhattan	0.970	0.973	0.973	0.973	0.973	0.005111	4.167978	4.189009
20250608_171406	255	50	0.9	knn	7	chebyshev	0.967	0.965	0.965	0.965	0.964	0.005043	4.259799	4.280408
20250608_171410	255	50	0.9	log			0.906	0.907	0.906	0.907	0.906	4.340384	0.002079	4.361383
20250608_171415	255	50	0.9	log			0.906	0.907	0.906	0.907	0.906	4.322178	0.003778	4.348690
20250608_171419	255	50	0.9	log			0.906	0.907	0.906	0.907	0.906	4.440079	0.001323	4.463555
20250608_171424	255	50	0.9	log			0.906	0.907	0.906	0.907	0.906	4.456382	0.001525	4.478327
20250608_171428	255	50	0.9	log			0.906	0.907	0.906	0.907	0.906	4.409118	0.001237	4.428124
20250608_171432	255	50	0.9	log			0.906	0.907	0.906	0.907	0.906	4.364015	0.005411	4.404685
20250608_171437	255	50	0.9	log			0.906	0.907	0.906	0.907	0.906	4.361526	0.001114	4.383795
20250608_171441	255	50	0.9	log			0.906	0.907	0.906	0.907	0.906	4.328920	0.001137	4.346555
20250608_171446	255	50	0.9	log			0.906	0.907	0.906	0.907	0.906	4.367494	0.001730	4.385688
20250608_171450	255	50	0.9	log			0.906	0.907	0.906	0.907	0.906	4.370384	0.001159	4.388175
20250608_171454	255	50	0.9	log			0.906	0.907	0.906	0.907	0.906	4.321854	0.001139	4.339637
20250608_171459	255	50	0.9	log			0.906	0.907	0.906	0.907	0.906	4.422027	0.003387	4.443061
20250608_171503	255	100	0.6	knn	1	euclidean	0.972	0.973	0.973	0.973	0.973	0.006254	2.972513	3.013663
20250608_171521	255	100	0.6	knn	1	manhattan	0.968	0.967	0.967	0.967	0.966	0.004530	18.717220	18.759057
20250608_171544	255	100	0.6	knn	1	chebyshev	0.963	0.961	0.961	0.961	0.961	0.004753	22.907734	22.948146
20250608_171547	255	100	0.6	knn	3	euclidean	0.973	0.973	0.973	0.973	0.972	0.004562	2.577374	2.614713
20250608_171607	255	100	0.6	knn	3	manhattan	0.967	0.967	0.967	0.967	0.967	0.004874	19.594946	19.632775
20250608_171630	255	100	0.6	knn	3	chebyshev	0.965	0.962	0.962	0.962	0.962	0.004974	22.866057	22.907079
20250608_171632	255	100	0.6	knn	5	euclidean	0.972	0.971	0.971	0.971	0.971	0.004617	2.848824	2.888995
20250608_171652	255	100	0.6	knn	5	manhattan	0.966	0.965	0.965	0.965	0.965	0.004695	19.420975	19.459229
20250608_171714	255	100	0.6	knn	5	chebyshev	0.964	0.962	0.962	0.962	0.962	0.004610	21.811836	21.849173
20250608_171716	255	100	0.6	knn	7	euclidean	0.971	0.971	0.971	0.971	0.971	0.004762	2.638789	2.676425
20250608_171735	255	100	0.6	knn	7	manhattan	0.965	0.964	0.965	0.964	0.964	0.004525	18.769579	18.807787
20250608_171759	255	100	0.6	knn	7	chebyshev	0.963	0.961	0.961	0.961	0.961	0.004622	23.398857	23.437212
20250608_171808	255	100	0.6	log			0.916	0.918	0.918	0.918	0.918	9.084938	0.005848	9.125475
20250608_171817	255	100	0.6	log			0.916	0.918	0.918	0.918	0.918	9.222059	0.005588	9.264660
20250608_171826	255	100	0.6	log			0.916	0.918	0.918	0.918	0.918	9.166581	0.007671	9.210921
20250608_171835	255	100	0.6	log			0.916	0.918	0.918	0.918	0.918	9.146664	0.005584	9.191023
20250608_171845	255	100	0.6	log			0.916	0.918	0.918	0.918	0.918	9.139986	0.005769	9.186111
20250608_171854	255	100	0.6	log			0.916	0.918	0.918	0.918	0.918	9.345615	0.007106	9.390394
20250608_171903	255	100	0.6	log			0.916	0.918	0.918	0.918	0.918	9.321092	0.005490	9.365999
20250608_171913	255	100	0.6	log			0.916	0.918	0.918	0.918	0.918	9.332855	0.006153	9.378577
20250608_171922	255	100	0.6	log			0.916	0.918	0.918	0.918	0.918	9.226817	0.005428	9.270126
20250608_171931	255	100	0.6	log			0.916	0.918	0.918	0.918	0.918	9.091545	0.007952	9.149238
20250608_171940	255	100	0.6	log			0.916	0.918	0.918	0.918	0.918	9.182744	0.005897	9.235125
20250608_171950	255	100	0.6	log			0.916	0.918	0.918	0.918	0.918	9.049542	0.006549	9.089007
20250608_171950	255	100	0.9	knn	1	euclidean	0.979	0.976	0.976	0.976	0.976	0.006271	0.926775	0.955631
20250608_171959	255	100	0.9	knn	1	manhattan	0.974	0.968	0.968	0.968	0.968	0.006377	8.859471	8.888719
20250608_172011	255	100	0.9	knn	1	chebyshev	0.965	0.965	0.965	0.965	0.965	0.007579	11.106501	11.139236
20250608_172011	255	100	0.9	knn	3	euclidean	0.975	0.975	0.975	0.975	0.975	0.006931	0.860807	0.890320
20250608_172020	255	100	0.9	knn	3	manhattan	0.971	0.966	0.967	0.966	0.966	0.006611	8.803460	8.832619
20250608_172030	255	100	0.9	knn	3	chebyshev	0.965	0.965	0.965	0.965	0.965	0.006820	10.215987	10.245588
20250608_172032	255	100	0.9	knn	5	euclidean	0.972	0.975	0.976	0.975	0.975	0.006559	0.991848	1.021620
20250608_172040	255	100	0.9	knn	5	manhattan	0.968	0.968	0.968	0.968	0.968	0.006573	8.756991	8.787424
20250608_172050	255	100	0.9	knn	5	chebyshev	0.966	0.964	0.964	0.964	0.964	0.006364	10.066471	10.096216
20250608_172051	255	100	0.9	knn	7	euclidean	0.969	0.975	0.975	0.975	0.975	0.006383	0.933411	0.963358
20250608_172100	255	100	0.9	knn	7	manhattan	0.966	0.966	0.966	0.966	0.966	0.006242	8.482054	8.511532
20250608_172110	255	100	0.9	knn	7	chebyshev	0.965	0.964	0.964	0.964	0.964	0.006550	10.393384	10.422999
20250608_172121	255	100	0.9	log			0.917	0.914	0.914	0.914	0.913	10.955976	0.001890	10.981430
20250608_172132	255	100	0.9	log			0.917	0.914	0.914	0.914	0.913	11.041239	0.001731	11.066076
20250608_172143	255	100	0.9	log			0.917	0.914	0.914	0.914	0.913	10.837449	0.001715	10.864396
20250608_172154	255	100	0.9	log			0.917	0.914	0.914	0.914	0.913	10.841905	0.002879	10.870002
20250608_172205	255	100	0.9	log			0.917	0.914	0.914	0.914	0.913	10.820606	0.001592	10.847048
20250608_172216	255	100	0.9	log			0.917	0.914	0.914	0.914	0.913	10.806140	0.001537	10.831932
20250608_172227	255	100	0.9	log			0.917	0.914	0.914	0.914	0.913	10.779499	0.001555	10.809356
20250608_172237	255	100	0.9	log			0.917	0.914	0.914	0.914	0.913	10.860104	0.001549	10.884950
20250608_172248	255	100	0.9	log			0.917	0.914	0.914	0.914	0.913	10.705457	0.003462	10.733196
20250608_172259	255	100	0.9	log			0.917	0.914	0.914	0.914	0.913	10.834772	0.002011	10.861410
20250608_172310	255	100	0.9	log			0.917	0.914	0.914	0.914	0.913	10.796517	0.001628	10.824733
20250608_172321	255	100	0.9	log			0.917	0.914	0.914	0.914	0.913	10.716737	0.001732	10.741393
20250608_172324	255	150	0.6	knn	1	euclidean	0.971	0.972	0.972	0.972	0.972	0.005670	3.051451	3.101490
20250608_172358	255	150	0.6	knn	1	manhattan	0.964	0.963	0.963	0.963	0.963	0.005545	33.314313	33.359890
20250608_172433	255	150	0.6	knn	1	chebyshev	0.963	0.961	0.961	0.961	0.961	0.005413	35.190553	35.235749
20250608_172436	255	150	0.6	knn	3	euclidean	0.972	0.972	0.972	0.972	0.972	0.005384	3.178252	3.222934
20250608_172509	255	150	0.6	knn	3	manhattan	0.963	0.963	0.963	0.963	0.963	0.005503	32.529599	32.575548
20250608_172546	255	150	0.6	knn	3	chebyshev	0.965	0.962	0.962	0.962	0.962	0.006278	37.424727	37.471361
20250608_172550	255	150	0.6	knn	5	euclidean	0.970	0.970	0.970	0.970	0.970	0.005567	3.264267	3.310216
20250608_172623	255	150	0.6	knn	5	manhattan	0.963	0.962	0.962	0.962	0.961	0.005791	33.177524	33.224862
20250608_172658	255	150	0.6	knn	5	chebyshev	0.964	0.962	0.962	0.962	0.962	0.005456	35.568951	35.616848
20250608_172702	255	150	0.6	knn	7	euclidean	0.968	0.969	0.969	0.969	0.969	0.005731	3.218986	3.265657
20250608_172735	255	150	0.6	knn	7	manhattan	0.960	0.960	0.961	0.960	0.960	0.005441	32.920478	32.965850
20250608_172809	255	150	0.6	knn	7	chebyshev	0.963	0.961	0.961	0.961	0.961	0.005358	33.889439	33.934258
20250608_172827	255	150	0.6	log			0.921	0.921	0.921	0.921	0.921	17.939072	0.007689	17.986519
20250608_172845	255	150	0.6	log			0.921	0.921	0.921	0.921	0.921	17.913438	0.007199	17.962125
20250608_172903	255	150	0.6	log			0.921	0.921	0.921	0.921	0.921	17.897270	0.010772	17.965549
20250608_172921	255	150	0.6	log			0.921	0.921	0.921	0.921	0.921	17.885810	0.010097	17.999338
20250608_172938	255	150	0.6	log			0.921	0.921	0.921	0.921	0.921	17.898451	0.008562	17.980345
20250608_172957	255	150	0.6	log			0.921	0.921	0.921	0.921	0.921	18.115370	0.010126	18.232507
20250608_173015	255	150	0.6	log			0.921	0.921	0.921	0.921	0.921	17.948936	0.008063	18.002643
20250608_173033	255	150	0.6	log			0.921	0.921	0.921	0.921	0.921	17.948152	0.008001	17.998472
20250608_173051	255	150	0.6	log			0.921	0.921	0.921	0.921	0.921	18.171206	0.008158	18.222612
20250608_173109	255	150	0.6	log			0.921	0.921	0.921	0.921	0.921	17.894163	0.007578	17.946295
20250608_173127	255	150	0.6	log			0.921	0.921	0.921	0.921	0.921	17.938429	0.009485	17.993532
20250608_173145	255	150	0.6	log			0.921	0.921	0.921	0.921	0.921	17.954210	0.007687	18.004129
20250608_173146	255	150	0.9	knn	1	euclidean	0.976	0.974	0.974	0.974	0.974	0.007920	1.155910	1.195532
20250608_173201	255	150	0.9	knn	1	manhattan	0.970	0.965	0.965	0.965	0.964	0.008621	14.534884	14.572650
20250608_173217	255	150	0.9	knn	1	chebyshev	0.965	0.965	0.965	0.965	0.965	0.007704	15.860707	15.897781
20250608_173218	255	150	0.9	knn	3	euclidean	0.976	0.972	0.972	0.972	0.972	0.007569	1.239411	1.276154
20250608_173233	255	150	0.9	knn	3	manhattan	0.966	0.964	0.964	0.964	0.964	0.008406	14.910591	14.947643
20250608_173249	255	150	0.9	knn	3	chebyshev	0.965	0.965	0.965	0.965	0.965	0.007603	15.687224	15.723934
20250608_173250	255	150	0.9	knn	5	euclidean	0.972	0.971	0.972	0.971	0.971	0.007667	1.199271	1.236486
20250608_173304	255	150	0.9	knn	5	manhattan	0.965	0.963	0.964	0.963	0.963	0.007679	14.708495	14.744910
20250608_173320	255	150	0.9	knn	5	chebyshev	0.966	0.964	0.964	0.964	0.964	0.007913	15.575525	15.616369
20250608_173321	255	150	0.9	knn	7	euclidean	0.971	0.973	0.974	0.973	0.973	0.008214	1.133086	1.170797
20250608_173336	255	150	0.9	knn	7	manhattan	0.964	0.964	0.965	0.964	0.964	0.007484	14.398055	14.435017
20250608_173351	255	150	0.9	knn	7	chebyshev	0.965	0.964	0.964	0.964	0.964	0.007770	15.388188	15.425416
20250608_173413	255	150	0.9	log			0.916	0.918	0.918	0.918	0.918	22.148092	0.002249	22.180776
20250608_173436	255	150	0.9	log			0.916	0.918	0.918	0.918	0.918	22.285146	0.002042	22.319963
20250608_173458	255	150	0.9	log			0.916	0.918	0.918	0.918	0.918	22.077873	0.002015	22.109101
20250608_173520	255	150	0.9	log			0.916	0.918	0.918	0.918	0.918	22.132437	0.002079	22.165434
20250608_173542	255	150	0.9	log			0.916	0.918	0.918	0.918	0.918	22.203939	0.002007	22.235467
20250608_173604	255	150	0.9	log			0.916	0.918	0.918	0.918	0.918	22.016698	0.002241	22.048993
20250608_173626	255	150	0.9	log			0.916	0.918	0.918	0.918	0.918	22.079840	0.002283	22.111964
20250608_173649	255	150	0.9	log			0.916	0.918	0.918	0.918	0.918	22.168415	0.002102	22.200444
20250608_173711	255	150	0.9	log			0.916	0.918	0.918	0.918	0.918	22.524569	0.002142	22.563709
20250608_173733	255	150	0.9	log			0.916	0.918	0.918	0.918	0.918	22.069405	0.002096	22.102899
20250608_173755	255	150	0.9	log			0.916	0.918	0.918	0.918	0.918	22.026862	0.002062	22.059005
20250608_173817	255	150	0.9	log			0.916	0.918	0.918	0.918	0.918	22.188759	0.002073	22.223005
20250608_173820	[-1,1]	10	0.6	knn	1	euclidean	0.913	0.914	0.914	0.914	0.914	0.055207	1.765410	1.840065
20250608_173823	[-1,1]	10	0.6	knn	1	manhattan	0.909	0.907	0.907	0.907	0.907	0.050181	3.438899	3.509130
20250608_173825	[-1,1]	10	0.6	knn	1	chebyshev	0.903	0.906	0.907	0.906	0.906	0.051287	1.510609	1.581888
20250608_173827	[-1,1]	10	0.6	knn	3	euclidean	0.924	0.925	0.925	0.925	0.925	0.050085	2.335273	2.404636
20250608_173833	[-1,1]	10	0.6	knn	3	manhattan	0.921	0.921	0.921	0.921	0.921	0.050163	5.456754	5.527095
20250608_173835	[-1,1]	10	0.6	knn	3	chebyshev	0.913	0.916	0.916	0.916	0.916	0.049536	1.861402	1.930328
20250608_173837	[-1,1]	10	0.6	knn	5	euclidean	0.929	0.930	0.930	0.930	0.930	0.049980	2.573868	2.643417
20250608_173844	[-1,1]	10	0.6	knn	5	manhattan	0.926	0.924	0.924	0.924	0.924	0.050075	6.110141	6.179977
20250608_173846	[-1,1]	10	0.6	knn	5	chebyshev	0.920	0.922	0.922	0.922	0.921	0.049120	1.970593	2.039480
20250608_173849	[-1,1]	10	0.6	knn	7	euclidean	0.929	0.930	0.930	0.930	0.930	0.049810	2.790807	2.860322
20250608_173855	[-1,1]	10	0.6	knn	7	manhattan	0.923	0.926	0.926	0.926	0.926	0.049397	6.677905	6.747483
20250608_173857	[-1,1]	10	0.6	knn	7	chebyshev	0.920	0.923	0.923	0.923	0.923	0.050921	2.138976	2.210388
20250608_173858	[-1,1]	10	0.6	log			0.799	0.803	0.802	0.803	0.802	0.933356	0.002026	0.956059
20250608_173859	[-1,1]	10	0.6	log			0.799	0.803	0.802	0.803	0.802	0.914369	0.002506	0.937634
20250608_173900	[-1,1]	10	0.6	log			0.799	0.803	0.802	0.803	0.802	0.923051	0.003007	0.946143
20250608_173901	[-1,1]	10	0.6	log			0.799	0.803	0.802	0.803	0.802	0.913170	0.002200	0.935351
20250608_173902	[-1,1]	10	0.6	log			0.799	0.803	0.802	0.803	0.802	0.914934	0.002115	0.938103
20250608_173903	[-1,1]	10	0.6	log			0.799	0.803	0.802	0.803	0.802	0.924029	0.002053	0.946047
20250608_173904	[-1,1]	10	0.6	log			0.799	0.803	0.802	0.803	0.802	0.915575	0.002071	0.937296
20250608_173905	[-1,1]	10	0.6	log			0.799	0.803	0.802	0.803	0.802	0.923777	0.002057	0.945486
20250608_173906	[-1,1]	10	0.6	log			0.799	0.803	0.802	0.803	0.802	0.924627	0.002256	0.947176
20250608_173907	[-1,1]	10	0.6	log			0.799	0.803	0.802	0.803	0.802	0.915756	0.002177	0.937670
20250608_173908	[-1,1]	10	0.6	log			0.799	0.803	0.802	0.803	0.802	0.937842	0.006263	0.970218
20250608_173909	[-1,1]	10	0.6	log			0.799	0.803	0.802	0.803	0.802	0.960720	0.002029	0.985331
20250608_173909	[-1,1]	10	0.9	knn	1	euclidean	0.914	0.920	0.919	0.920	0.920	0.082828	0.480907	0.575994
20250608_173910	[-1,1]	10	0.9	knn	1	manhattan	0.912	0.910	0.910	0.910	0.910	0.081956	0.820744	0.915178
20250608_173911	[-1,1]	10	0.9	knn	1	chebyshev	0.909	0.914	0.914	0.914	0.914	0.078803	0.343586	0.434540
20250608_173911	[-1,1]	10	0.9	knn	3	euclidean	0.926	0.931	0.931	0.931	0.931	0.080249	0.556735	0.649174
20250608_173913	[-1,1]	10	0.9	knn	3	manhattan	0.924	0.923	0.922	0.923	0.922	0.080495	1.086564	1.179530
20250608_173913	[-1,1]	10	0.9	knn	3	chebyshev	0.915	0.923	0.923	0.923	0.923	0.082541	0.438049	0.533904
20250608_173914	[-1,1]	10	0.9	knn	5	euclidean	0.928	0.935	0.934	0.935	0.934	0.083259	0.619547	0.715817
20250608_173915	[-1,1]	10	0.9	knn	5	manhattan	0.923	0.927	0.927	0.927	0.927	0.080263	1.222818	1.315448
20250608_173916	[-1,1]	10	0.9	knn	5	chebyshev	0.915	0.925	0.924	0.925	0.924	0.079121	0.445744	0.537313
20250608_173916	[-1,1]	10	0.9	knn	7	euclidean	0.927	0.934	0.934	0.934	0.934	0.081889	0.641908	0.736071
20250608_173918	[-1,1]	10	0.9	knn	7	manhattan	0.925	0.933	0.933	0.933	0.933	0.079624	1.558324	1.650197
20250608_173919	[-1,1]	10	0.9	knn	7	chebyshev	0.920	0.927	0.926	0.927	0.926	0.079547	0.493669	0.585981
20250608_173920	[-1,1]	10	0.9	log			0.799	0.800	0.798	0.800	0.798	1.176845	0.001625	1.190595
20250608_173921	[-1,1]	10	0.9	log			0.799	0.800	0.798	0.800	0.798	1.207760	0.000945	1.221653
20250608_173922	[-1,1]	10	0.9	log			0.799	0.800	0.798	0.800	0.798	1.216977	0.000868	1.230867
20250608_173924	[-1,1]	10	0.9	log			0.799	0.800	0.798	0.800	0.798	1.242663	0.001265	1.256488
20250608_173925	[-1,1]	10	0.9	log			0.799	0.800	0.798	0.800	0.798	1.207907	0.000818	1.221403
20250608_173926	[-1,1]	10	0.9	log			0.799	0.800	0.798	0.800	0.798	1.219814	0.001212	1.234232
20250608_173927	[-1,1]	10	0.9	log			0.799	0.800	0.798	0.800	0.798	1.190007	0.001024	1.204374
20250608_173928	[-1,1]	10	0.9	log			0.799	0.800	0.798	0.800	0.798	1.238093	0.000885	1.252151
20250608_173930	[-1,1]	10	0.9	log			0.799	0.800	0.798	0.800	0.798	1.218098	0.001226	1.232499
20250608_173931	[-1,1]	10	0.9	log			0.799	0.800	0.798	0.800	0.798	1.220549	0.002294	1.235036
20250608_173932	[-1,1]	10	0.9	log			0.799	0.800	0.798	0.800	0.798	1.237214	0.001793	1.251462
20250608_173933	[-1,1]	10	0.9	log			0.799	0.800	0.798	0.800	0.798	1.198089	0.001226	1.211445
20250608_173936	[-1,1]	50	0.6	knn	1	euclidean	0.975	0.973	0.973	0.973	0.973	0.004300	2.127556	2.155867
20250608_173945	[-1,1]	50	0.6	knn	1	manhattan	0.972	0.971	0.971	0.971	0.971	0.003724	8.729860	8.757294
20250608_173955	[-1,1]	50	0.6	knn	1	chebyshev	0.963	0.961	0.961	0.961	0.961	0.003931	10.027824	10.055640
20250608_173957	[-1,1]	50	0.6	knn	3	euclidean	0.975	0.975	0.975	0.975	0.975	0.003821	2.097575	2.125348
20250608_174006	[-1,1]	50	0.6	knn	3	manhattan	0.973	0.972	0.972	0.972	0.972	0.003958	8.634902	8.662349
20250608_174015	[-1,1]	50	0.6	knn	3	chebyshev	0.965	0.962	0.962	0.962	0.961	0.003828	9.605436	9.633141
20250608_174018	[-1,1]	50	0.6	knn	5	euclidean	0.974	0.973	0.973	0.973	0.973	0.003956	2.157627	2.186217
20250608_174027	[-1,1]	50	0.6	knn	5	manhattan	0.972	0.971	0.971	0.971	0.971	0.004008	9.096628	9.126489
20250608_174038	[-1,1]	50	0.6	knn	5	chebyshev	0.964	0.962	0.962	0.962	0.962	0.004499	11.060217	11.091003
20250608_174040	[-1,1]	50	0.6	knn	7	euclidean	0.974	0.972	0.972	0.972	0.972	0.004020	2.290396	2.318995
20250608_174049	[-1,1]	50	0.6	knn	7	manhattan	0.971	0.970	0.970	0.970	0.970	0.004196	8.673735	8.701658
20250608_174059	[-1,1]	50	0.6	knn	7	chebyshev	0.964	0.962	0.962	0.962	0.961	0.003738	9.989942	10.017895
20250608_174106	[-1,1]	50	0.6	log			0.905	0.908	0.907	0.908	0.907	7.310540	0.005209	7.339958
20250608_174114	[-1,1]	50	0.6	log			0.905	0.908	0.907	0.908	0.907	7.335838	0.004229	7.368517
20250608_174121	[-1,1]	50	0.6	log			0.905	0.908	0.907	0.908	0.907	7.333881	0.004357	7.361931
20250608_174128	[-1,1]	50	0.6	log			0.905	0.908	0.907	0.908	0.907	7.412427	0.003945	7.441461
20250608_174136	[-1,1]	50	0.6	log			0.905	0.908	0.907	0.908	0.907	7.385078	0.003761	7.414913
20250608_174143	[-1,1]	50	0.6	log			0.905	0.908	0.907	0.908	0.907	7.454936	0.003704	7.486264
20250608_174151	[-1,1]	50	0.6	log			0.905	0.908	0.907	0.908	0.907	7.563313	0.004168	7.595109
20250608_174158	[-1,1]	50	0.6	log			0.905	0.908	0.907	0.908	0.907	7.370054	0.003742	7.407808
20250608_174206	[-1,1]	50	0.6	log			0.905	0.908	0.907	0.908	0.907	7.355351	0.004107	7.390501
20250608_174213	[-1,1]	50	0.6	log			0.905	0.908	0.907	0.908	0.907	7.271658	0.006413	7.317056
20250608_174220	[-1,1]	50	0.6	log			0.905	0.908	0.907	0.908	0.907	7.326671	0.003666	7.367472
20250608_174228	[-1,1]	50	0.6	log			0.905	0.908	0.907	0.908	0.907	7.476399	0.006059	7.508953
20250608_174229	[-1,1]	50	0.9	knn	1	euclidean	0.975	0.977	0.977	0.977	0.977	0.005787	0.747460	0.769978
20250608_174233	[-1,1]	50	0.9	knn	1	manhattan	0.975	0.976	0.976	0.976	0.976	0.005299	3.961526	3.982094
20250608_174237	[-1,1]	50	0.9	knn	1	chebyshev	0.968	0.965	0.965	0.965	0.965	0.004968	4.209219	4.229219
20250608_174238	[-1,1]	50	0.9	knn	3	euclidean	0.977	0.977	0.977	0.977	0.977	0.005031	0.712495	0.733110
20250608_174242	[-1,1]	50	0.9	knn	3	manhattan	0.975	0.974	0.974	0.974	0.974	0.004988	3.901806	3.922070
20250608_174246	[-1,1]	50	0.9	knn	3	chebyshev	0.966	0.965	0.965	0.965	0.965	0.005263	4.288484	4.309446
20250608_174247	[-1,1]	50	0.9	knn	5	euclidean	0.975	0.977	0.977	0.977	0.977	0.005656	0.744047	0.766435
20250608_174250	[-1,1]	50	0.9	knn	5	manhattan	0.973	0.975	0.975	0.975	0.975	0.004966	3.828438	3.848585
20250608_174255	[-1,1]	50	0.9	knn	5	chebyshev	0.967	0.964	0.964	0.964	0.964	0.004981	4.332283	4.352478
20250608_174256	[-1,1]	50	0.9	knn	7	euclidean	0.973	0.976	0.976	0.976	0.976	0.005076	0.691519	0.712370
20250608_174259	[-1,1]	50	0.9	knn	7	manhattan	0.970	0.973	0.973	0.973	0.973	0.005081	3.796723	3.816832
20250608_174304	[-1,1]	50	0.9	knn	7	chebyshev	0.967	0.965	0.965	0.965	0.964	0.004978	4.206999	4.227739
20250608_174313	[-1,1]	50	0.9	log			0.906	0.907	0.907	0.907	0.907	9.728321	0.001129	9.745268
20250608_174323	[-1,1]	50	0.9	log			0.906	0.907	0.907	0.907	0.907	9.570481	0.001127	9.589337
20250608_174333	[-1,1]	50	0.9	log			0.906	0.907	0.907	0.907	0.907	9.643582	0.003070	9.664135
20250608_174342	[-1,1]	50	0.9	log			0.906	0.907	0.907	0.907	0.907	9.490580	0.001236	9.507794
20250608_174352	[-1,1]	50	0.9	log			0.906	0.907	0.907	0.907	0.907	9.432586	0.001179	9.449712
