Timestamp	Normalizacao	PCA	Treino%	Classificador	k	Distancia	Acc_Val	Acc_Test	Precision_Test	Recall_Test	F1_Test	Tempo_Treino_s	Tempo_Pred_s	Tempo_Total_s
20250608_163043	padrao	50	0.6	knn	3	manhattan	0.955	0.955	0.955	0.955	0.955	0.003744	8.826946	8.855386
20250608_163052	padrao	50	0.6	knn	3	chebyshev	0.944	0.942	0.942	0.942	0.942	0.004088	9.678127	9.706822
20250608_163054	padrao	50	0.6	knn	5	euclidean	0.958	0.956	0.956	0.956	0.956	0.003727	2.043559	2.072495
20250608_163103	padrao	50	0.6	knn	5	manhattan	0.955	0.954	0.954	0.954	0.954	0.003648	8.237090	8.264583
20250608_163112	padrao	50	0.6	knn	5	chebyshev	0.944	0.942	0.942	0.942	0.942	0.003643	9.451291	9.478758
20250608_163114	padrao	50	0.6	knn	7	euclidean	0.955	0.956	0.956	0.956	0.956	0.003655	2.025973	2.054134
20250608_163123	padrao	50	0.6	knn	7	manhattan	0.952	0.953	0.953	0.953	0.953	0.003653	8.217220	8.244937
20250608_163132	padrao	50	0.6	knn	7	chebyshev	0.942	0.942	0.942	0.942	0.942	0.003650	9.200810	9.228389
20250608_163142	padrao	50	0.6	log			0.901	0.901	0.901	0.901	0.901	9.764299	0.003577	9.792095
20250608_163151	padrao	50	0.6	log			0.901	0.901	0.901	0.901	0.901	9.765039	0.003542	9.792672
20250608_163201	padrao	50	0.6	log			0.901	0.901	0.901	0.901	0.901	9.777730	0.003639	9.805649
20250608_163211	padrao	50	0.6	log			0.901	0.901	0.901	0.901	0.901	9.785972	0.003558	9.814109
20250608_163221	padrao	50	0.6	log			0.901	0.901	0.901	0.901	0.901	9.744215	0.003511	9.771764
20250608_163231	padrao	50	0.6	log			0.901	0.901	0.901	0.901	0.901	9.754815	0.003624	9.782730
20250608_163240	padrao	50	0.6	log			0.901	0.901	0.901	0.901	0.901	9.737278	0.003699	9.764983
20250608_163250	padrao	50	0.6	log			0.901	0.901	0.901	0.901	0.901	9.756502	0.003470	9.784186
20250608_163300	padrao	50	0.6	log			0.901	0.901	0.901	0.901	0.901	9.724492	0.003586	9.751871
20250608_163310	padrao	50	0.6	log			0.901	0.901	0.901	0.901	0.901	9.705428	0.003530	9.732598
20250608_163319	padrao	50	0.6	log			0.901	0.901	0.901	0.901	0.901	9.664068	0.003555	9.690897
20250608_163329	padrao	50	0.6	log			0.901	0.901	0.901	0.901	0.901	9.694664	0.003592	9.722030
20250608_163330	padrao	50	0.9	knn	1	euclidean	0.960	0.964	0.964	0.964	0.964	0.005057	0.668009	0.689573
20250608_163333	padrao	50	0.9	knn	1	manhattan	0.956	0.958	0.958	0.958	0.958	0.004952	3.702151	3.722224
20250608_163337	padrao	50	0.9	knn	1	chebyshev	0.950	0.947	0.947	0.947	0.946	0.005011	4.066465	4.086894
20250608_163338	padrao	50	0.9	knn	3	euclidean	0.961	0.961	0.961	0.961	0.960	0.004936	0.619538	0.639490
20250608_163342	padrao	50	0.9	knn	3	manhattan	0.957	0.958	0.958	0.958	0.958	0.004988	3.688336	3.708573
20250608_163346	padrao	50	0.9	knn	3	chebyshev	0.952	0.948	0.948	0.948	0.948	0.004953	4.044252	4.064507
20250608_163347	padrao	50	0.9	knn	5	euclidean	0.960	0.962	0.962	0.962	0.962	0.004927	0.624520	0.644524
20250608_163350	padrao	50	0.9	knn	5	manhattan	0.961	0.959	0.959	0.959	0.959	0.004937	3.711304	3.731381
20250608_163354	padrao	50	0.9	knn	5	chebyshev	0.947	0.952	0.952	0.952	0.952	0.004925	4.037553	4.057721
20250608_163355	padrao	50	0.9	knn	7	euclidean	0.958	0.961	0.961	0.961	0.961	0.004921	0.651747	0.671767
20250608_163359	padrao	50	0.9	knn	7	manhattan	0.958	0.960	0.960	0.960	0.960	0.005031	3.708652	3.729061
20250608_163403	padrao	50	0.9	knn	7	chebyshev	0.946	0.949	0.949	0.949	0.949	0.004969	4.038498	4.058698
20250608_163417	padrao	50	0.9	log			0.901	0.900	0.900	0.900	0.899	13.874931	0.001158	13.891238
20250608_163431	padrao	50	0.9	log			0.901	0.900	0.900	0.900	0.899	13.994731	0.001226	14.011408
20250608_163445	padrao	50	0.9	log			0.901	0.900	0.900	0.900	0.899	13.943727	0.001642	13.960769
20250608_163459	padrao	50	0.9	log			0.901	0.900	0.900	0.900	0.899	13.882251	0.001135	13.898739
20250608_163512	padrao	50	0.9	log			0.901	0.900	0.900	0.900	0.899	13.924520	0.001171	13.941121
20250608_163526	padrao	50	0.9	log			0.901	0.900	0.900	0.900	0.899	13.915258	0.001155	13.931584
20250608_163540	padrao	50	0.9	log			0.901	0.900	0.900	0.900	0.899	13.895077	0.001130	13.911681
20250608_163554	padrao	50	0.9	log			0.901	0.900	0.900	0.900	0.899	14.026296	0.001086	14.044044
20250608_163608	padrao	50	0.9	log			0.901	0.900	0.900	0.900	0.899	13.964880	0.001150	13.981139
20250608_163622	padrao	50	0.9	log			0.901	0.900	0.900	0.900	0.899	13.935823	0.001161	13.952030
20250608_163636	padrao	50	0.9	log			0.901	0.900	0.900	0.900	0.899	13.975911	0.001142	13.992681
20250608_163650	padrao	50	0.9	log			0.901	0.900	0.900	0.900	0.899	13.991336	0.001133	14.008128
20250608_163654	padrao	100	0.6	knn	1	euclidean	0.954	0.955	0.955	0.955	0.955	0.004721	2.437099	2.472176
20250608_163711	padrao	100	0.6	knn	1	manhattan	0.951	0.950	0.950	0.950	0.950	0.004728	17.515671	17.550693
20250608_163732	padrao	100	0.6	knn	1	chebyshev	0.939	0.936	0.936	0.936	0.936	0.004526	20.884315	20.919352
20250608_163735	padrao	100	0.6	knn	3	euclidean	0.957	0.955	0.955	0.955	0.955	0.004530	2.424586	2.458829
20250608_163752	padrao	100	0.6	knn	3	manhattan	0.953	0.952	0.952	0.952	0.952	0.004526	17.571069	17.605762
20250608_163813	padrao	100	0.6	knn	3	chebyshev	0.942	0.942	0.942	0.942	0.942	0.004513	20.748283	20.783115
20250608_163815	padrao	100	0.6	knn	5	euclidean	0.955	0.956	0.956	0.956	0.956	0.004511	2.436459	2.470841
20250608_163833	padrao	100	0.6	knn	5	manhattan	0.951	0.953	0.952	0.953	0.952	0.004521	17.710093	17.745337
20250608_163854	padrao	100	0.6	knn	5	chebyshev	0.943	0.941	0.941	0.941	0.941	0.004581	20.799099	20.834038
20250608_163856	padrao	100	0.6	knn	7	euclidean	0.954	0.955	0.955	0.955	0.955	0.004540	2.456410	2.491211
20250608_163914	padrao	100	0.6	knn	7	manhattan	0.950	0.950	0.950	0.950	0.950	0.004651	17.536970	17.572070
20250608_163935	padrao	100	0.6	knn	7	chebyshev	0.942	0.942	0.942	0.942	0.942	0.004667	20.803268	20.838043
20250608_163953	padrao	100	0.6	log			0.909	0.908	0.907	0.908	0.907	18.449806	0.005366	18.485354
20250608_164012	padrao	100	0.6	log			0.909	0.908	0.907	0.908	0.907	18.470022	0.005402	18.506661
20250608_164030	padrao	100	0.6	log			0.909	0.908	0.907	0.908	0.907	18.517892	0.005615	18.554749
20250608_164049	padrao	100	0.6	log			0.909	0.908	0.907	0.908	0.907	18.392073	0.005383	18.428285
20250608_164107	padrao	100	0.6	log			0.909	0.908	0.907	0.908	0.907	18.446495	0.005359	18.482148
20250608_164126	padrao	100	0.6	log			0.909	0.908	0.907	0.908	0.907	18.413439	0.005377	18.450215
20250608_164144	padrao	100	0.6	log			0.909	0.908	0.907	0.908	0.907	18.341255	0.005300	18.377404
20250608_164202	padrao	100	0.6	log			0.909	0.908	0.907	0.908	0.907	18.291954	0.005418	18.328325
20250608_164221	padrao	100	0.6	log			0.909	0.908	0.907	0.908	0.907	18.248305	0.005376	18.284252
20250608_164239	padrao	100	0.6	log			0.909	0.908	0.907	0.908	0.907	18.270252	0.005422	18.305876
20250608_164257	padrao	100	0.6	log			0.909	0.908	0.907	0.908	0.907	18.270008	0.005406	18.305500
20250608_164316	padrao	100	0.6	log			0.909	0.908	0.907	0.908	0.907	18.298879	0.005388	18.334260
20250608_164317	padrao	100	0.9	knn	1	euclidean	0.958	0.963	0.963	0.963	0.963	0.006373	0.817227	0.844340
